,net1 - training loss,net1 - training accuracy,net1 - testing accuracy,net2 - training loss,net2 - training accuracy,net2 - testing accuracy,net3 - training loss,net3 - training accuracy,net3 - testing accuracy,net4 - training loss,net4 - training accuracy,net4 - testing accuracy,net5 - training loss,net5 - training accuracy,net5 - testing accuracy,net6 - training loss,net6 - training accuracy,net6 - testing accuracy,net7 - training loss,net7 - training accuracy,net7 - testing accuracy,net8 - training loss,net8 - training accuracy,net8 - testing accuracy,net9 - training loss,net9 - training accuracy,net9 - testing accuracy,net10 - training loss,net10 - training accuracy,net10 - testing accuracy,net11 - training loss,net11 - training accuracy,net11 - testing accuracy,net12 - training loss,net12 - training accuracy,net12 - testing accuracy,net13 - training loss,net13 - training accuracy,net13 - testing accuracy,net14 - training loss,net14 - training accuracy,net14 - testing accuracy,net15 - training loss,net15 - training accuracy,net15 - testing accuracy
0,0.012749795,42.412,54.41,0.011425507,48.517998,59.77,0.010785753,50.822002,61.73,0.010204393,53.227997,66.09,0.010288024,52.447998,64.85,0.013779314,38.677998,49.9,0.012446156,43.55,55.86,0.012085222,44.494,56.59,0.011333549,47.81,60.22,0.01106421,48.984,60.34,0.01350979,39.092,50.31,0.012449415,42.859997,54.12,0.011931281,44.505997,55.5,0.011740509,45.29,59.48,0.011707666,44.954,57.77
1,0.00883755,59.76,61.8,0.007385712,66.626,68.75,0.006835003,69.186,68.59,0.005997194,73.114,72.04,0.005842317,73.74,72.32,0.009867147,55.159996,59.08,0.008474465,61.512,64.55,0.008175375,62.926,64.48,0.00724472,67.444,68.49,0.006952683,68.572,68.31,0.010026392,54.115997,57.81,0.008797858,60.031998,63.21,0.008084239,62.922,66.01,0.007810221,64.502,66.33,0.007689499,65.056,68.03
2,0.007112967,68.254,66.86,0.005668724,74.822,72.24,0.004984796,78.104,72.57,0.003794528,83.752,74.57,0.003169425,86.628,73.49,0.008176044,63.306,64.47,0.006815149,69.397995,68.92,0.006444699,71.296,69.5,0.005331886,76.409996,72.04,0.004777105,78.95,71.26,0.008459309,61.729996,63.45,0.007115503,67.978,69.44,0.006394795,71.051994,71.41,0.006036934,72.958,71.66,0.005694029,74.49,72.72
3,0.005981648,73.602,70.23,0.004449437,80.631996,73.45,0.003383643,85.664,74.36,0.001858639,93.24,76.02,0.000996427,96.848,74.84,0.006993188,68.834,67.85,0.005780973,74.215996,71.55,0.005095238,77.764,72.25,0.00378456,83.827995,73.71,0.002787342,88.692,72.02,0.007256975,67.446,66.66,0.006060268,72.854004,70.57,0.005286078,76.332,73.8,0.004734911,78.939995,73.89,0.004262714,81.142,74.81
4,0.005060581,77.881996,70.84,0.003357984,86.102,74.7,0.001926464,92.946,73.94,0.000572721,98.738,76.41,0.000179646,99.762,76.77,0.006165783,72.675995,68.5,0.004932181,78.34599,72.67,0.003906929,83.594,72.8,0.00234239,91.038,73.23,0.001085765,96.808,72.67,0.006360374,71.605995,68.45,0.005262485,76.69,73.21,0.004394655,80.58399,75.14,0.003655171,83.998,75.71,0.003008935,86.951996,75.42
5,0.004227011,81.936,71.12,0.002329482,91.178,75.26,0.000820531,97.988,74.81,0.000133047,99.94399,78.2,3.67E-05,99.99,77.68,0.005518205,75.736,68.91,0.004179015,81.99,73.2,0.002791572,88.923996,72.95,0.001107669,96.73,74.57,0.000291549,99.568,73.62,0.005678652,74.998,70.29,0.004557916,79.92999,74.2,0.003550865,84.774,75.98,0.002614948,89.18,75.73,0.00173087,93.38,76.1
6,0.003414533,86.122,71.53,0.001432008,95.593994,75,0.000282553,99.76399,75.38,4.88E-05,99.992,78.4,1.79E-05,100,77.61,0.00492885,78.479996,69.3,0.003388367,85.92,74.19,0.001746443,94.09799,73.27,0.00040131,99.394,74.76,7.38E-05,99.98399,74.72,0.005054934,77.928,70.6,0.003893387,83.088,74.6,0.002743522,88.479996,76.06,0.001604752,94.096,75.93,0.000784057,97.564,76.68
7,0.00264077,90.021996,71.99,0.000767182,98.45,75.28,0.000122474,99.95,76.51,3.06E-05,100,78.54,1.35E-05,100,77.78,0.004320525,81.535995,70.66,0.002644577,89.626,74.49,0.000959881,97.572,73.51,0.000143882,99.925995,74.83,3.42E-05,99.998,75.09,0.004464925,80.972,70.72,0.003238778,86.45599,75.11,0.001957808,92.436,75.85,0.000780342,97.752,76.41,0.000269746,99.53999,77.53
8,0.001913055,93.638,72.12,0.000394852,99.58399,75.67,7.01E-05,99.993996,76.41,2.47E-05,100,78.52,1.16E-05,100,77.88,0.003726678,84.44,70.83,0.001946308,93.156,74.47,0.000459345,99.402,73.67,7.10E-05,99.986,75.24,2.42E-05,100,75.35,0.003880217,83.618,71.33,0.002572148,89.854,75.28,0.001244342,95.964,76.19,0.000308574,99.507996,77.3,7.79E-05,99.956,78.54
9,0.001303975,96.514,72.67,0.000213494,99.90399,75.81,5.11E-05,100,76.66,2.07E-05,100,78.53,1.05E-05,100,77.78,0.0031368,87.35,70.1,0.001344772,96.145996,74.86,0.000231355,99.912,74.14,4.86E-05,100,75.49,2.01E-05,100,75.19,0.003274935,86.766,72,0.00194193,92.906,75.47,0.000668501,98.45999,76.81,0.000103556,99.96,77.79,2.84E-05,100,78.74
