,net1 - training loss,net1 - training accuracy,net1 - testing accuracy,net2 - training loss,net2 - training accuracy,net2 - testing accuracy,net3 - training loss,net3 - training accuracy,net3 - testing accuracy,net4 - training loss,net4 - training accuracy,net4 - testing accuracy,net5 - training loss,net5 - training accuracy,net5 - testing accuracy,net6 - training loss,net6 - training accuracy,net6 - testing accuracy,net7 - training loss,net7 - training accuracy,net7 - testing accuracy,net8 - training loss,net8 - training accuracy,net8 - testing accuracy,net9 - training loss,net9 - training accuracy,net9 - testing accuracy,net10 - training loss,net10 - training accuracy,net10 - testing accuracy,net11 - training loss,net11 - training accuracy,net11 - testing accuracy,net12 - training loss,net12 - training accuracy,net12 - testing accuracy,net13 - training loss,net13 - training accuracy,net13 - testing accuracy,net14 - training loss,net14 - training accuracy,net14 - testing accuracy,net15 - training loss,net15 - training accuracy,net15 - testing accuracy
0,0.010185022,66.49291,80.776596,0.007555032,74.374115,83.14893,0.006162214,77.74557,86.03191,0.005408152,79.638306,86.65426,0.004902766,80.96809,87.39893,0.012122573,61.99734,78.71277,0.00945598,69.06206,83.07447,0.007438554,74.674644,85.19149,0.00643949,77.16667,86.29256,0.005817859,78.23848,86.526596,0.011768787,63.038124,79.38298,0.009169092,69.56117,83.28191,0.007300127,74.68617,84.14893,0.006419775,76.58955,86.01596,0.003295607,85.374115,86.65958
1,0.004017612,83.52837,83.78191,0.003152639,86.30142,85.90426,0.002680827,87.969864,88.04256,0.002478408,88.72518,88.05319,0.002272354,89.37146,88.37766,0.004520375,81.68174,83.04256,0.003528569,85.01596,85.37234,0.002983758,86.82447,87.21277,0.002697714,87.73582,87.96277,0.002518731,88.42642,87.835106,0.00434585,82.24468,83.03723,0.003414684,85.304085,86.180855,0.00291653,87.023056,86.69681,0.00270929,87.6383,88.03723,0.00244318,88.5922,88.00532
2,0.003360846,85.78902,84.94149,0.002682776,88.07713,87.335106,0.002304839,89.41756,88.88298,0.002080598,90.29344,88.69681,0.001823322,91.21455,89.1383,0.003683686,84.67465,84.19681,0.002968905,87.02837,86.30319,0.002562664,88.46011,87.59042,0.002311495,89.30497,88.36702,0.002119911,90.04256,88.37766,0.003578628,84.922874,84.90426,0.002880765,87.16844,87.085106,0.002513563,88.55231,87.856384,0.002344393,89.054085,88.32979,0.002143095,89.85993,89.04256
3,0.003029159,86.97607,85.680855,0.00242757,89.018616,87.92553,0.002067705,90.321815,88.85107,0.001826074,91.33955,88.95744,0.001449638,93.07092,89.30851,0.003280267,86.11702,85.3883,0.002685292,88.047874,87.27128,0.002339013,89.29079,88.15426,0.002076526,90.237595,88.65426,0.001833448,91.255325,88.96809,0.003217579,86.15426,85.94681,0.002626278,88.06117,87.25532,0.002308208,89.28546,88.319145,0.002127298,90.00976,89.106384,0.001919246,90.688835,89.15426
4,0.00277885,87.85905,85.86702,0.002234312,89.78104,87.452126,0.001896543,91.11791,88.3883,0.001578693,92.57713,89.02128,0.001145672,94.53546,88.59042,0.003023796,86.97784,85.96277,0.002478299,88.85373,87.90426,0.002164907,89.88121,88.69149,0.00188695,91.03014,88.90426,0.0016081,92.274826,88.973404,0.002966425,87.179085,86.319145,0.002428787,89.03104,87.63298,0.002150367,89.90869,88.88298,0.001962304,90.638306,88.914894,0.001722236,91.58245,89.1383
5,0.002598866,88.608154,86.760635,0.002076178,90.48848,88.6383,0.001726178,91.797874,89.335106,0.001363743,93.55054,88.723404,0.000862371,96.11703,88.680855,0.002837029,87.664894,86.1117,0.002336884,89.43529,88.22872,0.002026542,90.60018,88.97872,0.001714505,91.8493,89.14893,0.00138272,93.38387,88.79256,0.002773141,87.8555,86.47872,0.002298203,89.382095,88.3883,0.002025226,90.42554,89.085106,0.00181879,91.29079,89.5,0.001559898,92.297874,89.34574
6,0.002443895,89.195045,87.143616,0.001951077,90.99203,88.78723,0.001569049,92.661354,88.07979,0.00115545,94.60195,89.18617,0.000640277,97.237595,89.03191,0.00266719,88.3555,86.62766,0.002221499,89.91401,88.55851,0.001904149,91.11082,88.78723,0.001567109,92.565605,89.28191,0.001162335,94.59043,89.106384,0.002624331,88.354614,87.319145,0.002192047,89.79876,88.56383,0.001917959,90.83777,89.10107,0.001698689,91.804085,89.12234,0.001401015,93.10018,89.06383
7,0.002307642,89.71455,87.42553,0.001830567,91.483154,88.55851,0.001425253,93.36614,89.223404,0.00096381,95.63121,89.28191,0.000483422,98.02749,88.96277,0.002542271,88.765076,86.87234,0.002116547,90.18972,88.260635,0.001799258,91.56738,89.164894,0.001419488,93.31738,89.164894,0.000955311,95.72075,88.73404,0.002502456,88.86791,87.680855,0.002093335,90.331566,88.42553,0.001820548,91.32004,88.96277,0.001584703,92.32713,89.702126,0.001244251,93.913124,88.835106
8,0.002187246,90.23139,87.67021,0.001722648,92.081566,88.82979,0.001285707,94.06117,89.239365,0.00078359,96.620575,88.57447,0.000364784,98.58245,89.03723,0.002412828,89.325356,87.31383,0.002011481,90.727844,88.23404,0.001693984,92.102844,88.72872,0.001265177,94.12589,89.07979,0.000773096,96.67465,88.35107,0.002396668,89.21455,87.24468,0.002014788,90.57447,88.73404,0.001741443,91.53902,89.34042,0.001472055,92.95923,89.3883,0.001093227,94.72696,89.10107
9,0.002074179,90.69947,87.914894,0.001615972,92.51064,88.75532,0.001146405,94.79521,89.07447,0.000644749,97.34841,88.80851,0.000298448,98.872345,89,0.002315925,89.79788,86.88298,0.00193198,91.08954,88.489365,0.001593507,92.41844,88.930855,0.001124179,94.82448,89.21809,0.00062545,97.45302,88.585106,0.002299081,89.64894,87.8617,0.00194485,90.82004,88.39893,0.001650645,92.05852,89.319145,0.001359791,93.45479,89.38298,0.000950476,95.53192,88.62234
