,net1 - training loss,net1 - training accuracy,net1 - testing accuracy,net2 - training loss,net2 - training accuracy,net2 - testing accuracy,net3 - training loss,net3 - training accuracy,net3 - testing accuracy,net4 - training loss,net4 - training accuracy,net4 - testing accuracy,net5 - training loss,net5 - training accuracy,net5 - testing accuracy,net6 - training loss,net6 - training accuracy,net6 - testing accuracy,net7 - training loss,net7 - training accuracy,net7 - testing accuracy,net8 - training loss,net8 - training accuracy,net8 - testing accuracy,net9 - training loss,net9 - training accuracy,net9 - testing accuracy,net10 - training loss,net10 - training accuracy,net10 - testing accuracy,net11 - training loss,net11 - training accuracy,net11 - testing accuracy,net12 - training loss,net12 - training accuracy,net12 - testing accuracy,net13 - training loss,net13 - training accuracy,net13 - testing accuracy,net14 - training loss,net14 - training accuracy,net14 - testing accuracy,net15 - training loss,net15 - training accuracy,net15 - testing accuracy
0,0.0046184,80.988335,86.24,0.00398361,83.043335,88.42,0.003589247,84.675,88.84,0.003279076,85.74333,89.03,0.003138482,85.735,89.36,0.005369567,78.53166,85.22,0.004691435,80.34167,87.14,0.004123207,82.166664,87.6,0.00377849,83.50166,88.21,0.003553746,84.345,88.92,0.005513941,77.128334,84.98,0.004710221,79.68833,86.86,0.004209652,81.78833,87.77,0.003968737,82.62167,88.03,0.003852579,82.62666,88.21
1,0.002481427,88.80333,88.53,0.002085785,90.445,90.4,0.001905233,91.189995,90.71,0.001754687,91.87,90.4,0.001595511,92.63,90.94,0.002678752,87.89333,88.11,0.002361088,89.28667,89.31,0.00213036,90.17333,90.11,0.001937689,91.02,88.94,0.001840444,91.465004,90.69,0.002739417,87.60833,87.27,0.002374278,89.12,89.21,0.002146987,90.00667,90.1,0.002112662,90.17667,89.45,0.002107428,90.003334,89.59
2,0.002058198,90.71667,89.8,0.0016917,92.38833,90.9,0.001489621,93.191666,91.54,0.001253599,94.33833,90.98,0.001046409,95.33833,90.74,0.002227937,89.87667,88.51,0.001935867,91.11833,90.24,0.001714167,92.015,89.89,0.00152943,93.00667,91,0.001369881,93.74,90.83,0.002265339,89.738335,89.35,0.001975134,90.96333,90.19,0.00178838,91.723335,90.6,0.001743959,91.82333,90.88,0.001704841,91.965004,90.52
3,0.001813077,91.75667,90.05,0.001465976,93.27334,91.49,0.001191761,94.69334,91.77,0.000892702,96.10333,90.33,0.000623287,97.46,91.73,0.001967198,91.15,89.9,0.001679549,92.348335,91.01,0.001447887,93.44334,91.07,0.00119934,94.595,91.49,0.000970948,95.68834,91.53,0.00198712,90.93834,89.75,0.00172836,92.05334,90.97,0.001541401,92.96167,91.32,0.001457331,93.22167,91.39,0.001400551,93.47833,90.79
4,0.001595994,92.78667,90.84,0.001232615,94.47667,92.03,0.000921845,96.01833,91.75,0.00060138,97.55667,92.07,0.000358773,98.58667,91.79,0.001763975,92.066666,90.22,0.001492256,93.28833,91.56,0.001198969,94.58833,91.36,0.000942523,95.89667,91.46,0.000652368,97.36833,91.24,0.001802176,91.793335,90.53,0.001549316,92.88,91.21,0.001338347,93.89334,91.52,0.00122212,94.348335,91.77,0.001184247,94.458336,91.34
5,0.001428327,93.52334,91.31,0.001033179,95.45167,92.06,0.000687789,97.238335,91.63,0.000359476,98.66334,91.85,0.000178277,99.405,92.1,0.001611913,92.705,90.76,0.00132041,94.225,91.86,0.000998223,95.63333,91.62,0.000658367,97.278336,91.67,0.000407154,98.46333,91.57,0.001635224,92.60333,91.13,0.001365832,93.81834,92.03,0.001169267,94.76167,91.03,0.001023772,95.35667,91.93,0.000956317,95.645,91.25
6,0.00126305,94.335,91.54,0.000851967,96.425,91.93,0.000494782,98.06,91.52,0.000195952,99.42167,92.04,7.67E-05,99.81834,92.03,0.001474773,93.38167,91.1,0.001166973,94.86667,91.83,0.000811447,96.55667,91.66,0.000477384,98.12667,91.86,0.000242833,99.21333,91.09,0.001496939,93.223335,90.92,0.001245693,94.354996,91.69,0.001009936,95.54167,92.01,0.000832639,96.278336,91.88,0.000744539,96.58667,90.8
7,0.001124662,95.01167,91.53,0.000698617,97.17834,92.68,0.000319488,98.903336,92.2,9.78E-05,99.78167,92.6,2.41E-05,99.98,92.54,0.001350167,93.97167,91.47,0.001049689,95.380005,92.05,0.000638433,97.39333,91.94,0.000319064,98.89333,91.64,0.000106767,99.770004,91.93,0.001383275,93.75833,92.02,0.001110432,95.03001,92.14,0.00085564,96.29834,91.82,0.000630634,97.27167,91.66,0.000635628,97.10333,91.86
8,0.001004589,95.73167,91.68,0.000556086,97.9,92.29,0.000212623,99.375,92.12,3.53E-05,99.986664,92.66,8.98E-06,100,92.73,0.00124722,94.450005,91.75,0.000928477,96.04834,92.11,0.000485735,98.215004,92.27,0.00017645,99.56,91.78,4.21E-05,99.97,92.13,0.001271772,94.246666,91.95,0.000984237,95.65833,91.66,0.000708819,96.97,91.87,0.000503852,97.87334,91.68,0.000475206,97.995,91.76
9,0.000880228,96.35834,92.45,0.000427781,98.485,92.18,0.000110587,99.83167,92.35,1.72E-05,100,92.92,6.52E-06,100,92.74,0.001134191,94.98,91.7,0.00079515,96.64333,92.05,0.000351846,98.81833,92.05,0.000103855,99.805,92.35,1.65E-05,100,92.12,0.001168054,94.79167,92.29,0.000879981,96.155,92.18,0.000570184,97.715004,91.66,0.000439369,98.125,91.47,0.000415502,98.245,91.58
