,net1 - training loss,net1 - training accuracy,net1 - testing accuracy,net2 - training loss,net2 - training accuracy,net2 - testing accuracy,net3 - training loss,net3 - training accuracy,net3 - testing accuracy,net4 - training loss,net4 - training accuracy,net4 - testing accuracy,net5 - training loss,net5 - training accuracy,net5 - testing accuracy,net6 - training loss,net6 - training accuracy,net6 - testing accuracy,net7 - training loss,net7 - training accuracy,net7 - testing accuracy,net8 - training loss,net8 - training accuracy,net8 - testing accuracy,net9 - training loss,net9 - training accuracy,net9 - testing accuracy,net10 - training loss,net10 - training accuracy,net10 - testing accuracy,net11 - training loss,net11 - training accuracy,net11 - testing accuracy,net12 - training loss,net12 - training accuracy,net12 - testing accuracy,net13 - training loss,net13 - training accuracy,net13 - testing accuracy,net14 - training loss,net14 - training accuracy,net14 - testing accuracy,net15 - training loss,net15 - training accuracy,net15 - testing accuracy
0,0.003177939,90.305,97.09,0.002351186,93.05167,98.12,0.00170866,94.64667,98.64,0.001423455,95.168335,98.83,0.001218651,95.566666,99.08,0.003987131,88.496666,96.69,0.003017524,90.575005,97.77,0.002356637,92.58667,98.35,0.001909239,93.48334,98.48,0.001615441,94.604996,98.86,0.0040006,89.14667,96.88,0.002901248,91.668335,98.31,0.002142655,93.596664,98.6,0.002009061,93.20167,98.67,0.001740125,93.566666,98.99
1,0.000652092,97.73167,98.27,0.00042486,98.49333,98.74,0.000306438,98.9,98.97,0.000236806,99.13,99.08,0.000170507,99.37666,99.08,0.000807371,97.21667,97.81,0.000542095,98.08,98.49,0.000402341,98.55667,98.72,0.000326889,98.79833,99.06,0.000234993,99.138336,99.11,0.000751938,97.36833,98.06,0.000467318,98.275,98.85,0.000356152,98.69667,98.93,0.000297097,98.87,99.13,0.000250661,99.01833,99.15
2,0.000448286,98.456665,98.51,0.000285213,98.97667,99.01,0.00020162,99.3,99.18,0.000137948,99.511665,99.16,7.65E-05,99.795,99.32,0.000552579,98.05167,98.15,0.000371236,98.69,98.74,0.000272875,99.003334,98.94,0.000211123,99.25,99.16,0.000134984,99.53833,99.09,0.000499602,98.221664,98.51,0.000322853,98.84,99.09,0.000253144,99.07333,99.09,0.000196467,99.22667,99.25,0.000147539,99.458336,99.29
3,0.000354362,98.825005,98.67,0.000217855,99.25667,99.06,0.000146217,99.50833,99.26,8.96E-05,99.73,99.13,3.38E-05,99.955,99.37,0.000433882,98.47,98.49,0.000294767,98.90833,98.83,0.000203317,99.29666,99.14,0.000149107,99.465004,99.23,7.99E-05,99.79167,99.33,0.000393055,98.57333,98.7,0.000256793,99.02,99.18,0.00019502,99.278336,99.14,0.000141067,99.486664,99.19,9.00E-05,99.71167,98.98
4,0.000294792,98.971664,98.69,0.000170129,99.418335,99.14,0.000105529,99.706665,99.29,5.45E-05,99.89,99.36,1.94E-05,99.985,99.37,0.000364388,98.70833,98.75,0.00024187,99.166664,99,0.000160769,99.49,99.25,0.000106417,99.67167,99.18,4.68E-05,99.92167,99.38,0.000331505,98.808334,98.79,0.000209505,99.278336,99.08,0.00015421,99.44334,99.18,0.0001015,99.653336,99.35,5.86E-05,99.83167,99.4
5,0.000253819,99.165,98.89,0.000139169,99.55666,99.21,7.87E-05,99.78833,99.29,3.58E-05,99.956665,99.35,1.36E-05,99.99834,99.44,0.000315385,98.89667,98.78,0.000207741,99.270004,99.09,0.000126873,99.605,99.32,8.07E-05,99.79667,99.18,3.09E-05,99.965,99.27,0.000288034,98.996666,98.9,0.000185099,99.29167,99.22,0.000125568,99.52167,99.17,7.93E-05,99.73334,99.36,3.08E-05,99.945,99.31
6,0.000219299,99.29,98.83,0.000114404,99.67334,99.32,6.08E-05,99.87,99.3,2.56E-05,99.97667,99.36,1.09E-05,99.99834,99.42,0.000278811,99.03833,98.86,0.000177631,99.4,99,0.000101917,99.70167,99.22,5.83E-05,99.86167,99.26,2.20E-05,99.99334,99.39,0.000253652,99.145004,98.86,0.000161261,99.435005,99.24,0.000102189,99.668335,99.3,5.80E-05,99.833336,99.24,1.99E-05,99.973335,99.34
7,0.000191684,99.388336,99.01,9.45E-05,99.75167,99.17,4.79E-05,99.91,99.27,1.91E-05,99.996666,99.38,8.67E-06,99.99834,99.44,0.000248054,99.15,98.9,0.000154249,99.495,99,8.52E-05,99.785,99.27,4.34E-05,99.93167,99.3,1.70E-05,99.996666,99.27,0.000227094,99.22,98.96,0.000138194,99.50667,99.22,8.07E-05,99.735,99.44,4.42E-05,99.903336,99.31,1.21E-05,99.99834,99.39
8,0.000167216,99.486664,98.91,7.93E-05,99.80666,99.22,3.72E-05,99.95334,99.27,1.55E-05,99.996666,99.39,7.59E-06,99.99834,99.44,0.000223268,99.246666,98.84,0.000137541,99.56834,99.04,7.01E-05,99.84334,99.26,3.40E-05,99.96833,99.28,1.42E-05,99.99834,99.34,0.000208525,99.26833,98.96,0.000122038,99.598335,99.36,6.76E-05,99.793335,99.47,2.98E-05,99.96334,99.43,9.33E-06,99.99834,99.43
9,0.000148334,99.58666,99.04,6.57E-05,99.88167,99.26,3.06E-05,99.975,99.32,1.33E-05,99.99834,99.37,6.57E-06,99.99834,99.39,0.000204113,99.333336,98.99,0.000121377,99.621666,99.13,5.73E-05,99.888336,99.34,2.76E-05,99.98167,99.25,1.21E-05,99.99834,99.39,0.00018809,99.386665,99.04,0.000104711,99.67167,99.37,5.18E-05,99.88167,99.32,2.50E-05,99.956665,99.44,7.77E-06,99.99834,99.45
